day	hour	value	pic
1	1	0	20191
1	2	0	20191
1	3	0	20191
1	4	20	20191
1	5	60	20191
1	6	0	20191
1	7	60	20191
1	8	20	20191
1	9	60	20191
1	10	60	20191
1	11	60	20191
1	12	60	20191
1	13	60	20191
1	14	60	20191
1	15	60	20191
1	16	60	20191
1	17	60	20191
1	18	60	20191
1	19	20	20191
1	20	20	20191
1	21	0	20191
1	22	0	20191
1	23	0	20191
1	24	60	20191
2	1	6	20192
2	2	2	20192
2	3	0	20192
2	4	0	20192
2	5	0	20192
2	6	0	20192
2	7	10	20192
2	8	20	20192
2	9	30	20192
2	10	50	20192
2	11	60	20192
2	12	50	20192
2	13	40	20192
2	14	60	20192
2	15	60	20192
2	16	50	20192
2	17	60	20192
2	18	50	20192
2	19	20	20192
2	20	20	20192
2	21	10	20192
2	22	9	20192
2	23	0	20192
2	24	20	20192
3	1	0	20193
3	2	0	20193
3	3	0	20193
3	4	0	20193
3	5	0	20193
3	6	0	20193
3	7	10	20193
3	8	20	20193
3	9	40	20193
3	10	50	20193
3	11	60	20193
3	12	60	20193
3	13	40	20193
3	14	50	20193
3	15	50	20193
3	16	60	20193
3	17	60	20193
3	18	50	20193
3	19	20	20193
3	20	20	20193
3	21	10	20193
3	22	10	20193
3	23	0	20193
3	24	10	20193
4	1	0	20194
4	2	0	20194
4	3	0	20194
4	4	0	20194
4	5	0	20194
4	6	20	20194
4	7	10	20194
4	8	20	20194
4	9	30	20194
4	10	50	20194
4	11	60	20194
4	12	50	20194
4	13	50	20194
4	14	50	20194
4	15	60	20194
4	16	50	20194
4	17	50	20194
4	18	50	20194
4	19	20	20194
4	20	10	20194
4	21	10	20194
4	22	20	20194
4	23	0	20194
4	24	0	20194
5	1	0	20195
5	2	0	20195
5	3	0	20195
5	4	0	20195
5	5	0	20195
5	6	0	20195
5	7	10	20195
5	8	20	20195
5	9	30	20195
5	10	50	20195
5	11	50	20195
5	12	60	20195
5	13	60	20195
5	14	60	20195
5	15	60	20195
5	16	60	20195
5	17	60	20195
5	18	60	20195
5	19	20	20195
5	20	20	20195
5	21	10	20195
5	22	10	20195
5	23	0	20195
5	24	10	20195
