day	hour	value	pic
1	1	0	20201
1	2	0	20201
1	3	0	20201
1	4	0	20201
1	5	2	20201
1	6	2	20201
1	7	3	20201
1	8	3	20201
1	9	3	20201
1	10	30	20201
1	11	30	20201
1	12	30	20201
1	13	30	20201
1	14	30	20201
1	15	30	20201
1	16	30	20201
1	17	30	20201
1	18	30	20201
1	19	30	20201
1	20	30	20201
2	1	0	20202
2	2	0	20202
2	3	2	20202
2	4	2	20202
2	5	2	20202
2	6	2	20202
2	7	2	20202
2	8	2	20202
2	9	30	20202
2	10	30	20202
2	11	30	20202
2	12	30	20202
2	13	50	20202
2	14	50	20202
2	15	50	20202
2	16	50	20202
2	17	50	20202
2	18	50	20202
2	19	50	20202
2	20	50	20202
3	1	0	20203
3	2	0	20203
3	3	0	20203
3	4	0	20203
3	5	2	20203
3	6	2	20203
3	7	2	20203
3	8	3	20203
3	9	3	20203
3	10	3	20203
3	11	3	20203
3	12	5	20203
3	13	5	20203
3	14	5	20203
3	15	15	20203
3	16	15	20203
3	17	15	20203
3	18	15	20203
3	19	15	20203
3	20	15	20203
4	1	0	20204
4	2	2	20204
4	3	2	20204
4	4	2	20204
4	5	3	20204
4	6	30	20204
4	7	30	20204
4	8	30	20204
4	9	30	20204
4	10	30	20204
4	11	30	20204
4	12	50	20204
4	13	50	20204
4	14	50	20204
4	15	50	20204
4	16	50	20204
4	17	50	20204
4	18	50	20204
4	19	50	20204
4	20	50	20204
5	1	0	20205
5	2	0	20205
5	3	0	20205
5	4	0	20205
5	5	0	20205
5	6	0	20205
5	7	0	20205
5	8	2	20205
5	9	2	20205
5	10	2	20205
5	11	2	20205
5	12	2	20205
5	13	2	20205
5	14	2	20205
5	15	2	20205
5	16	2	20205
5	17	2	20205
5	18	2	20205
5	19	2	20205
5	20	3	20205
