day	hour	value	pic
1	1	0	20211
1	2	0	20211
1	3	0	20211
1	4	0	20211
1	5	0	20211
1	6	2	20211
1	7	2	20211
1	8	2	20211
1	9	2	20211
1	10	2	20211
1	11	2	20211
1	12	5	20211
1	13	5	20211
1	14	5	20211
1	15	30	20211
1	16	30	20211
1	17	40	20211
1	18	40	20211
1	19	40	20211
1	20	40	20211
2	1	0	20212
2	2	0	20212
2	3	0	20212
2	4	0	20212
2	5	0	20212
2	6	2	20212
2	7	2	20212
2	8	2	20212
2	9	2	20212
2	10	30	20212
2	11	30	20212
2	12	30	20212
2	13	30	20212
2	14	40	20212
2	15	40	20212
2	16	40	20212
2	17	40	20212
2	18	40	20212
2	19	40	20212
2	20	40	20212
3	1	0	20213
3	2	0	20213
3	3	0	20213
3	4	0	20213
3	5	2	20213
3	6	2	20213
3	7	2	20213
3	8	2	20213
3	9	2	20213
3	10	30	20213
3	11	30	20213
3	12	30	20213
3	13	30	20213
3	14	30	20213
3	15	30	20213
3	16	30	20213
3	17	30	20213
3	18	30	20213
3	19	30	20213
3	20	30	20213
4	1	0	20214
4	2	0	20214
4	3	0	20214
4	4	2	20214
4	5	2	20214
4	6	5	20214
4	7	5	20214
4	8	5	20214
4	9	5	20214
4	10	14	20214
4	11	14	20214
4	12	14	20214
4	13	60	20214
4	14	60	20214
4	15	60	20214
4	16	60	20214
4	17	60	20214
4	18	60	20214
4	19	60	20214
4	20	60	20214
5	1	0	20215
5	2	0	20215
5	3	0	20215
5	4	2	20215
5	5	2	20215
5	6	4	20215
5	7	4	20215
5	8	4	20215
5	9	4	20215
5	10	15	20215
5	11	15	20215
5	12	15	20215
5	13	30	20215
5	14	30	20215
5	15	30	20215
5	16	30	20215
5	17	60	20215
5	18	60	20215
5	19	60	20215
5	20	60	20215
